Brand,Model,Series,Processor,Processor_Gen,RAM,Hard_Disk_Capacity,OS,Rating,Price
DELL,Inspiron,Missing,i3,11th,8.0,1 TB HDD,Windows 11 Home,3.7,39040.0
DELL,Vostro,Missing,i5,11th,8.0,1 TB HDD,Windows 10 Home,3.6,50840.0
ASUS,VivoBook,15,i3,10th,8.0,512 GB SSD,Windows 11 Home,4.3,37940.0
DELL,Inspiron,Missing,i3,11th,8.0,1 TB HDD,Missing,4.4,44440.0
ASUS,TUF,Gaming,i5,10th,8.0,512 GB SSD,Windows 10 Home,4.5,57940.0
ASUS,Ryzen,3,3250U,3rd,8.0,256 GB SSD,Windows 10 Home,4.3,35940.0
DELL,Inspiron,Athlon,3050U,Missing,4.0,256 GB SSD,Windows 11 Home,4.2,33940.0
DELL,Inspiron,Missing,i5,11th,16.0,512 GB SSD,Windows 10,4.2,69040.0
Lenovo,IdeaPad,3,i3,10th,8.0,1 TB HDD,Windows 10 Home,4.1,37440.0
Lenovo,IdeaPad,3,i3,11th,8.0,256 GB SSD,Windows 11 Home,4.2,40940.0
Lenovo,IdeaPad,3,i3,10th,8.0,256 GB SSD,Windows 11 Home,4.3,37940.0
DELL,Inspiron,Ryzen,3250U,Missing,8.0,256 GB SSD,Windows 11 Home,4.3,37340.0
HP,Ryzen,3,3250U,Missing,8.0,256 GB SSD,Windows 10 Home,4.3,38940.0
Lenovo,IdeaPad,3,i3,11th,8.0,256 GB SSD,Windows 11 Home,4.3,40940.0
acer,Aspire,7,i5,10th,8.0,512 GB SSD,Windows 10 Home,4.4,52940.0
ASUS,VivoBook,Ultra,i3,11th,8.0,512 GB SSD,Windows 11 Home,4.8,42940.0
Lenovo,Thinkpad,Ryzen,5600U,Missing,8.0,512 GB SSD,DOS,4.1,57440.0
ASUS,Vivobook,14,i3,11th,8.0,256 GB SSD,Windows 10 Home,4.3,37840.0
ASUS,VivoBook,15,Missing,Missing,4.0,256 GB SSD,Windows 10 Home,4.3,34940.0
Lenovo,IdeaPad,3,5500U,Missing,8.0,512 GB SSD,Windows 11 Home,4.4,49940.0
ASUS,VivoBook,15,i7,10th,16.0,512 GB SSD,Windows 11 Home,4.1,57940.0
HP,Ryzen,3,5300U,Missing,8.0,512 GB SSD,Windows 11 Home,4.2,42740.0
ASUS,VivoBook,15,i3,11th,4.0,256 GB SSD,Windows 10 Home,4.2,36940.0
Lenovo,IdeaPad,3,i3,11th,8.0,256 GB SSD,Windows 11 Home,4.3,39940.0
ASUS,VivoBook,15,i3,10th,4.0,512 GB SSD,Windows 11 Home,4.2,35940.0
DELL,Vostro,Missing,i3,11th,8.0,256 GB SSD,Windows 10,4.3,41740.0
Lenovo,Ideapad,Slim,i5,11th,16.0,512 GB SSD,Windows 10 Home,4.4,59940.0
DELL,Inspiron,Missing,i3,11th,8.0,512 GB SSD,Windows 11 Home,4.4,45540.0
DELL,Inspiron,Missing,i3,11th,8.0,256 GB SSD,Windows 11 Home,4.3,41540.0
